"","owner","admin","dist","road","id","area","denom","nomin","holding_area","type"
"1","中華民國","財政部國有財產署","中正區","永昌段一小段","00300000","9","1","1","9","第三種住宅區"
"2","中華民國","財政部國有財產署","中正區","永昌段一小段","00300003","10","1","1","10","第三種住宅區"
"3","中華民國","財政部國有財產署","中正區","永昌段一小段","00300010","16","1","1","16","第三種住宅區"
"4","中華民國","財政部國有財產署","中正區","永昌段一小段","00300011","21","1","1","21","第三種住宅區"
"5","中華民國","財政部國有財產署","中正區","永昌段一小段","00300012","17","1","1","17","第三種住宅區"
"6","中華民國","財政部國有財產署","中正區","永昌段一小段","00300013","8.5","1","1","8.5","第三種住宅區"
"7","中華民國","財政部國有財產署","中正區","永昌段一小段","00300017","3","1","1","3","第三種住宅區"
"8","中華民國","財政部國有財產署","中正區","永昌段一小段","00300018","8","1","1","8","第三種住宅區"
"9","中華民國","財政部國有財產署","中正區","永昌段一小段","00300019","2","1","1","2","第三種住宅區"
"10","中華民國","財政部國有財產署","中正區","永昌段一小段","00300020","39","1","1","39","第三種住宅區"
"11","中華民國","財政部國有財產署","中正區","永昌段一小段","00300022","0.5","1","1","0.5","第三種住宅區"
"12","中華民國","財政部國有財產署","中正區","永昌段一小段","00310000","16","1","1","16","第三種住宅區"
"13","中華民國","財政部國有財產署","中正區","永昌段一小段","00310001","15","1","1","15","第三種住宅區"
"14","中華民國","財政部國有財產署","中正區","永昌段一小段","00310002","56","1","1","56","第三種住宅區"
"15","中華民國","財政部國有財產署","中正區","永昌段一小段","00310003","9","1","1","9","第三種住宅區"
"16","中華民國","財政部國有財產署","中正區","永昌段一小段","00310004","42","1","1","42","第三種住宅區"
"17","中華民國","財政部國有財產署","中正區","永昌段一小段","00310005","35","1","1","35","第三種住宅區"
"18","中華民國","財政部國有財產署","中正區","永昌段一小段","00310006","20","1","1","20","第三種住宅區"
"19","中華民國","財政部國有財產署","中正區","永昌段一小段","00310007","2","1","1","2","第三種住宅區"
"20","中華民國","財政部國有財產署","中正區","永昌段一小段","00310008","8","1","1","8","第三種住宅區"
"21","中華民國","財政部國有財產署","中正區","永昌段一小段","00310009","15","1","1","15","第三種住宅區"
"22","中華民國","財政部國有財產署","中正區","永昌段一小段","00310010","17","1","1","17","第三種住宅區"
"23","中華民國","財政部國有財產署","中正區","永昌段一小段","00310011","16","1","1","16","第三種住宅區"
"24","中華民國","財政部國有財產署","中正區","永昌段一小段","00310012","32","1","1","32","第三種住宅區"
"25","中華民國","財政部國有財產署","中正區","永昌段一小段","00310013","27","1","1","27","第三種住宅區"
"26","中華民國","財政部國有財產署","中正區","永昌段一小段","00310014","15","1","1","15","第三種住宅區"
"27","中華民國","財政部國有財產署","中正區","永昌段一小段","00310015","10","1","1","10","第三種住宅區"
"28","中華民國","財政部國有財產署","中正區","永昌段一小段","00310020","3","1","1","3","第三種住宅區"
"29","中華民國","財政部國有財產署","中正區","永昌段一小段","00310021","22","1","1","22","第三種住宅區"
"30","中華民國","財政部國有財產署","中正區","永昌段一小段","00810001","20","1","1","20","第三之一種住宅區"
"31","中華民國","財政部國有財產署","中正區","永昌段一小段","00840000","11","1","1","11","第三之一種住宅區"
"32","中華民國","財政部國有財產署","中正區","永昌段一小段","01010000","59","1","1","59","第三種住宅區"
"33","中華民國","財政部國有財產署","中正區","永昌段一小段","01160000","39","1","1","39","第三種住宅區"
"34","中華民國","財政部國有財產署","中正區","永昌段一小段","01170000","98","1","1","98","第三種住宅區"
"35","中華民國","財政部國有財產署","中正區","永昌段一小段","01170003","64","1","1","64","第三之一種住宅區"
"36","中華民國","財政部國有財產署","中正區","永昌段一小段","01170004","68","1","1","68","第三之一種住宅區"
"37","中華民國","財政部國有財產署","中正區","永昌段一小段","01170005","38","1","1","38","第三之一種住宅區"
"38","中華民國","財政部國有財產署","中正區","永昌段一小段","01170007","42","1","1","42","第三之一種住宅區"
"39","中華民國","財政部國有財產署","中正區","永昌段一小段","01170008","9","1","1","9","第三種住宅區"
"40","中華民國","財政部國有財產署","中正區","永昌段一小段","01170010","3","1","1","3","第三種住宅區"
"41","中華民國","財政部國有財產署","中正區","永昌段一小段","01170011","39","1","1","39","第三種住宅區"
"42","中華民國","財政部國有財產署","中正區","永昌段一小段","01170012","29","1","1","29","第三種住宅區"
"43","中華民國","財政部國有財產署","中正區","永昌段一小段","01170015","146","1","1","146","第三種住宅區"
"44","中華民國","財政部國有財產署","中正區","永昌段一小段","01170017","23","1","1","23","第三種住宅區"
"45","中華民國","財政部國有財產署","中正區","永昌段一小段","01170018","2","1","1","2","第三種住宅區"
"46","中華民國","財政部國有財產署","中正區","永昌段一小段","01170019","27","1","1","27","第三種住宅區"
"47","中華民國","財政部國有財產署","中正區","永昌段一小段","01170020","50","1","1","50","第三種住宅區"
"48","中華民國","財政部國有財產署","中正區","永昌段一小段","01230000","3","1","1","3","第三之一種住宅區"
"49","中華民國","財政部國有財產署","中正區","永昌段一小段","01230002","4","1","1","4","第三種住宅區"
"50","中華民國","財政部國有財產署","中正區","永昌段一小段","01270000","15","1","1","15","第三之一種住宅區"
"51","中華民國","臺北市政府工務局新建工程處","中正區","永昌段一小段","01300000","1","1","1","1","第三之一種住宅區"
"52","中華民國","財政部國有財產署","中正區","永昌段一小段","01420000","10","1","1","10","第三之一種住宅區"
"53","中華民國","財政部國有財產署","中正區","永昌段一小段","01420001","5","1","1","5","第三種住宅區"
"54","中華民國","財政部國有財產署","中正區","永昌段一小段","01560000","1","1","1","1","第三種住宅區"
"55","中華民國","財政部國有財產署","中正區","永昌段一小段","01560002","18","1","1","18","第三種住宅區"
"56","中華民國","財政部國有財產署","中正區","永昌段一小段","01560003","30","1","1","30","第三種住宅區"
"57","中華民國","財政部國有財產署","中正區","永昌段一小段","01560004","31","1","1","31","第三種住宅區"
"58","中華民國","財政部國有財產署","中正區","永昌段一小段","01560005","2","1","1","2","第三種住宅區"
"59","中華民國","財政部國有財產署","中正區","永昌段一小段","01560010","3","1","1","3","第三種住宅區"
"60","中華民國","財政部國有財產署","中正區","永昌段一小段","01560011","1","1","1","1","第三種住宅區"
"61","中華民國","財政部國有財產署","中正區","永昌段一小段","01560012","4","1","1","4","第三種住宅區"
"62","中華民國","財政部國有財產署","中正區","永昌段一小段","01560013","3","1","1","3","第三種住宅區"
"63","中華民國","交通部臺灣鐵路管理局","中正區","永昌段一小段","02050000","1","1","1","1","第三種住宅區"
"64","中華民國","交通部臺灣鐵路管理局","中正區","永昌段一小段","02080000","2","1","1","2","第三種住宅區"
"65","中華民國","交通部臺灣鐵路管理局","中正區","永昌段一小段","02090000","4","1","1","4","第三種住宅區"
"66","中華民國","交通部臺灣鐵路管理局","中正區","永昌段一小段","02170000","15","1","1","15","第三種住宅區"
"67","中華民國","交通部臺灣鐵路管理局","中正區","永昌段一小段","02180000","16","1","1","16","第三種住宅區"
"68","中華民國","財政部國有財產署","中正區","永昌段一小段","02260000","53","1","1","53","第三種住宅區"
"69","中華民國","財政部國有財產署","中正區","永昌段一小段","02260001","5","1","1","5","第三種住宅區"
